Date,Category,Location,Infrastructure / Sector,Impact (reported),Source (publisher),Source title,Key findings (from source),URL
2026-01-28,Sector response / Advocacy,Ukraine (DTEK),Decentralized energy & resilience,DTEK highlighted global media focus at Davos and argued decentralized systems and defenses are critical; reiterated call for an energy ceasefire.,DTEK,Global media spotlight Ukraine's energy frontline at Davos,"DTEK said energy facilities remain under heavy attack and emphasized resilience measures (decentralization, defenses) while urging an energy ceasefire.",https://dtek.com/en/media-center/news/global-media-spotlight-ukraines-energy-frontline-at-dav/
2026-01-29,Policy / Assessment,Ukraine (nationwide),Energy infrastructure truce (moratorium),ISW noted Trump statement about a week-long moratorium on some energy strikes; highlighted uncertainty and strategic implications.,Institute for the Study of War,"Russian Offensive Campaign Assessment, January 29, 2026",ISW reported claims of a temporary moratorium on some energy strikes and assessed how it might affect Russia’s broader campaign and negotiations.,https://understandingwar.org/research/russia-ukraine/russian-offensive-campaign-assessment-january-29-2026/
2026-01-30,Diplomacy / Truce,Ukraine & Russia,Energy installations (air attacks),"Reuters reported both sides halted air attacks on Ukrainian energy installations until Feb 1, though details and timeframe were contested.",Reuters,"Russia, Ukraine halt energy strikes, but differences emerge",Reported a temporary halt on air attacks on energy installations until Feb 1; noted disagreements on timeframe and continued broader hostilities.,https://www.reuters.com/world/europe/zelenskiy-says-date-or-location-next-round-us-brokered-peace-talks-could-change-2026-01-30/
2026-01-30,Nuclear safety (policy),Vienna / Ukraine,Substations supporting NPP off-site power,IAEA DG noted offsite supply depends on crucial substations and damage undermines nuclear safety—framing energy infrastructure protection as a safety priority.,IAEA,IAEA Director General's Introductory Statement to the Board of Governors – 30 January 2026,Grossi stressed that damage to substations supplying NPP off-site power threatens nuclear safety; urged focus on protecting external supply.,https://www.iaea.org/newscenter/statements/iaea-director-generals-introductory-statement-to-the-board-of-governors-30-january-2026
2026-01-31,Grid incident / Resilience,Nationwide,Cross-border & domestic transmission lines,"Ukraine’s PM said a technical failure on transmission lines triggered cascading outages, compounding stress on a grid already battered by attacks.",NV (New Voice of Ukraine),Shmyhal explains cause of emergency power outages in Ukraine,Shmyhal said a fault on cross-border and domestic lines triggered cascading outages; highlighted fragility of the system under wartime strain.,https://english.nv.ua/nation/technical-failure-triggers-cascading-power-outages-across-ukraine-shmyhal-says-50579968.html
2026-02-02,Energy supply / Imports,Ukraine (imports from EU neighbors),Electricity imports,"Reuters reported January imports rose ~40% to a wartime record (ExPro), reflecting sustained damage and need for external balancing.",Reuters,Ukraine's electricity imports jump 40% to record 894 gigawatt-hours in January,ExPro data showed record January imports amid constant attacks; Hungary largest share; imports up across most directions.,https://www.reuters.com/business/energy/ukraines-electricity-imports-jump-40-record-894-gigawatt-hours-january-2026-02-02/
2026-02-02,Truce / Monitoring,Ukraine (nationwide),Energy infrastructure strike pause,"Reuters reported Zelenskyy said Russia largely observed the energy ceasefire since it began, though both sides disputed the end date/timeframe.",Reuters,Zelenskiy says Russia largely observing energy ceasefire,Zelenskyy said no targeted strikes on major energy infrastructure since the pause began; noted disagreement over how long it should last.,https://www.reuters.com/world/europe/no-new-targeted-russian-strikes-ukrainian-energy-infrastructure-zelenskiy-says-2026-02-02/
2026-02-02,Attack,Nationwide (incl. Kyiv),Power grid / critical infrastructure,Kyiv Independent reported a mass attack across Ukraine signaling the end of the energy ceasefire; emergency outages and heating disruptions followed.,The Kyiv Independent,"Russia launches mass attack across Ukraine, signaling end of energy ceasefire",Reported large-scale strikes and damage to energy equipment; Kyiv introduced emergency outages; hundreds of buildings reportedly left without heating.,https://kyivindependent.com/russia-launches-mass-attack-across-ukraine-signaling-end-of-energy-ceasefire/
2026-02-03,Attack / Damage assessment,Kyiv,Thermal power plant,"Reuters quoted Ukraine’s energy minister saying a Kyiv power plant was badly damaged, underscoring continued degradation of generation capacity.",Reuters,Ukrainian energy minister says Kyiv power plant badly damaged,"Energy minister reported severe damage at a Kyiv power plant following strikes, illustrating continued pressure on generation and heat supply.",https://www.reuters.com/business/energy/ukrainian-energy-minister-says-kyiv-power-plant-badly-damaged-2026-02-03/
2026-02-04,International support / Recovery,Ukraine (support fund),Energy Support Fund / grid & heat recovery,Energy Community said Ireland contributed EUR 25m (total EUR 27m) to Ukraine Energy Support Fund to help recovery amid winter strain.,Energy Community,"Ireland backs Ukraine’s energy recovery, with total support to the Ukraine Energy Support Fund now at EUR 27 million","Energy Community reported Ireland’s contribution to the fund, citing unprecedented winter strain and the need for equipment and repairs.",https://www.energy-community.org/news/Ukraine/2026/02/04.html
